Sex,height,mass,Sport,Club,club_1,club_2,club_3,club_week,class,Testdate,School,Name,Location,Filename,Board,Admin,cohort,Inclusion,S20,BPT,SLJ,OLB,Star,Run,note,Birthdate,Child,District
w,136,24,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.6,3.3,125,50,33.5,0,keine,2013-09-21T00:00:00Z,C000014,Landkreis Altenburger Land
w,123,22,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.4,3.1,113,30,34.9,810,keine,2014-04-18T00:00:00Z,C000015,Landkreis Altenburger Land
w,133,NA,nein,ja,Tanzen/Aerobic,Leichtathletik,NA,zweimal,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.4,4.1,110,20,28.5,1053,keine,2014-01-03T00:00:00Z,C000016,Landkreis Altenburger Land
w,122,22,nein,ja,Tanzen/Aerobic,NA,NA,einmal,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,emotionale & soziale Entw.,5.5,3,113,8,33.8,792,keine,2015-03-12T00:00:00Z,C000017,Landkreis Altenburger Land
w,NA,NA,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,emotionale & soziale Entw.,4.76,3.1,130,27,28.5,0,keine,2014-03-21T00:00:00Z,C000018,Landkreis Altenburger Land
w,NA,NA,ja,ja,Handball,Schwimmen,NA,zweimal,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,Sprache,4.7,3.4,110,20,NA,1242,keine,2014-08-28T00:00:00Z,C000019,Landkreis Altenburger Land
w,127,28,ja,ja,Schwimmen,NA,NA,einmal,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,Sprache,4.3,4.3,125,60,35.6,1188,keine,2013-11-11T00:00:00Z,C000020,Landkreis Altenburger Land
w,128,30,ja,ja,Reiten/Voltigieren,NA,NA,dreimal,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,Sprache,4.9,2.8,110,60,32.4,1206,keine,2013-03-17T00:00:00Z,C000021,Landkreis Altenburger Land
w,127,NA,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,Sprache,4.5,3.4,135,14,29.3,990,keine,2014-07-26T00:00:00Z,C000022,Landkreis Altenburger Land
m,132,29,ja,ja,Schwimmen,NA,NA,einmal,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,Sprache,4.4,4.6,145,30,28.6,1080,keine,2013-11-11T00:00:00Z,C000023,Landkreis Altenburger Land
w,141,42,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.8,4.7,115,60,27,927,keine,2012-12-26T00:00:00Z,C000024,Landkreis Altenburger Land
w,146,29,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.4,4.7,145,60,31.1,999,keine,2012-12-12T00:00:00Z,C000025,Landkreis Altenburger Land
w,145,40,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.1,6.1,130,60,25.1,1116,keine,2014-01-03T00:00:00Z,C000026,Landkreis Altenburger Land
w,NA,NA,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,Sprache,4.4,3.4,130,6,32.1,1080,keine,2014-02-21T00:00:00Z,C000027,Landkreis Altenburger Land
m,NA,NA,ja,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,emotionale & soziale Entw.,4.9,3.9,140,5,27.1,0,keine,2014-07-13T00:00:00Z,C000028,Landkreis Altenburger Land
m,NA,NA,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,Sprache,3.9,6.1,178,27,23,1080,keine,2013-02-04T00:00:00Z,C000029,Landkreis Altenburger Land
w,149,46,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.8,3.6,111,3,29.5,1107,keine,2013-09-20T00:00:00Z,C000030,Landkreis Altenburger Land
m,139,28,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.2,4.3,165,60,32,0,keine,2013-07-12T00:00:00Z,C000031,Landkreis Altenburger Land
m,NA,NA,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,6.5,3.9,95,8,42.6,0,keine,2014-01-17T00:00:00Z,C000032,Landkreis Altenburger Land
m,141,31,nein,ja,Kampfsport,NA,NA,einmal,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,emotionale & soziale Entw.,4.3,5.1,150,8,24.5,1035,keine,2012-12-10T00:00:00Z,C000033,Landkreis Altenburger Land
m,NA,NA,nein,nein,NA,NA,NA,--wählen--,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,Sprache,4.5,3.8,130,26,27.4,837,keine,NA,C000034,Landkreis Altenburger Land
m,150,47,nein,ja,Tischtennis,NA,NA,zweimal,3,2022-12-01T00:00:00Z,10028,Wilhelm-Busch-Schule Altenburg Staatliche Grundschule,Altenburg,./22raw/10028_Wilhelm_Busch_Schule_Altenburg.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.4,5,140,20,24.5,792,keine,2013-11-20T00:00:00Z,C000035,Landkreis Altenburger Land
m,130,31,nein,ja,Fussball,NA,NA,zweimal,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,3.68,5.5,155,35,17.53,927,keine,2014-05-14T00:00:00Z,C000036,Landkreis Altenburger Land
m,134,28,ja,nein,NA,NA,NA,--wählen--,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.32,3.6,128,5,22.2,1046,keine,2014-02-02T00:00:00Z,C000037,Landkreis Altenburger Land
m,138,35,ja,ja,Fussball,NA,NA,zweimal,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.04,3.6,135,60,22.16,999,keine,2013-12-28T00:00:00Z,C000038,Landkreis Altenburger Land
m,135,31,nein,ja,Fussball,NA,NA,dreimal,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.25,3.6,154,60,19.6,1093,keine,2013-08-22T00:00:00Z,C000039,Landkreis Altenburger Land
m,128,27,nein,ja,Andere,NA,NA,dreimal,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.7,4.2,132,60,25.2,1035,keine,2014-05-20T00:00:00Z,C000040,Landkreis Altenburger Land
m,141,27,nein,ja,Fussball,NA,NA,zweimal,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.66,2.4,128,37,21.8,1107,keine,2012-09-07T00:00:00Z,C000041,Landkreis Altenburger Land
w,135,32,nein,ja,Leichtathletik,NA,NA,zweimal,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.13,3.8,150,49,24.6,873,keine,2014-01-10T00:00:00Z,C000042,Landkreis Altenburger Land
w,130,30,nein,nein,Reiten/Voltigieren,Handball,NA,dreimal,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.56,3.5,100,45,30.41,810,keine,2014-01-01T00:00:00Z,C000043,Landkreis Altenburger Land
w,135,54,nein,ja,Reiten/Voltigieren,Handball,NA,zweimal,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,3.94,4.3,160,60,21.1,1026,keine,2013-01-03T00:00:00Z,C000044,Landkreis Altenburger Land
w,134,32,nein,nein,NA,NA,NA,--wählen--,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.07,3.8,125,60,22.87,918,keine,2013-11-29T00:00:00Z,C000045,Landkreis Altenburger Land
w,130,28,nein,ja,Turnen/Gymnastik,Reiten/Voltigieren,NA,zweimal,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.56,2.6,135,15,25.53,900,keine,2013-08-10T00:00:00Z,C000046,Landkreis Altenburger Land
m,137,27,nein,ja,Fussball,NA,NA,zweimal,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,3.87,4.5,150,60,21.21,1035,keine,2013-09-18T00:00:00Z,C000047,Landkreis Altenburger Land
w,134,33,nein,nein,NA,NA,NA,--wählen--,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.5,5.3,140,60,30.47,810,keine,2014-03-19T00:00:00Z,C000048,Landkreis Altenburger Land
w,140,30,nein,ja,Turnen/Gymnastik,NA,NA,einmal,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.03,4.5,130,15,24.3,1026,keine,2013-09-12T00:00:00Z,C000049,Landkreis Altenburger Land
w,133,31,nein,nein,NA,NA,NA,--wählen--,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.62,3.3,100,45,20,702,keine,2013-11-08T00:00:00Z,C000050,Landkreis Altenburger Land
w,140,31,nein,nein,NA,NA,NA,--wählen--,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.34,2.9,130,50,25.7,828,keine,2014-06-24T00:00:00Z,C000051,Landkreis Altenburger Land
m,139,35,nein,ja,Fussball,NA,NA,zweimal,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,3.91,4.3,140,60,19.15,864,keine,2013-09-28T00:00:00Z,C000052,Landkreis Altenburger Land
m,130,24,nein,nein,NA,NA,NA,--wählen--,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4,3.5,140,50,18,972,keine,2014-01-30T00:00:00Z,C000053,Landkreis Altenburger Land
m,132,28,nein,nein,NA,NA,NA,--wählen--,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.07,4.3,150,3,21.53,880,keine,2014-05-07T00:00:00Z,C000054,Landkreis Altenburger Land
m,130,29,nein,nein,NA,NA,NA,--wählen--,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,5.72,2.3,105,8,31.06,742,keine,2013-04-02T00:00:00Z,C000055,Landkreis Altenburger Land
m,130,30,ja,nein,NA,NA,NA,--wählen--,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.72,3.4,125,60,22.6,900,keine,2013-08-17T00:00:00Z,C000056,Landkreis Altenburger Land
m,137,39,nein,nein,NA,NA,NA,--wählen--,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,5.03,4.1,152,49,24.1,877,keine,2013-06-18T00:00:00Z,C000057,Landkreis Altenburger Land
m,150,38,nein,ja,Fussball,NA,NA,zweimal,3a,2022-12-08T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3a.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,3.91,4,145,50,22.4,948,keine,2013-07-07T00:00:00Z,C000058,Landkreis Altenburger Land
m,NA,NA,nein,nein,NA,NA,NA,--wählen--,3b,2022-12-05T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3b.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,Sprache,4.15,2.64,150,15,31.4,945,keine,NA,C000059,Landkreis Altenburger Land
m,147,30,nein,nein,NA,NA,NA,--wählen--,3b,2022-12-05T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3b.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,5.3,3.1,156,48,24.56,954,keine,2013-06-18T00:00:00Z,C000060,Landkreis Altenburger Land
m,NA,NA,nein,nein,NA,NA,NA,--wählen--,3b,2022-12-05T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3b.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.9,3.2,135,21,28.03,837,keine,NA,C000061,Landkreis Altenburger Land
m,128,25,nein,nein,NA,NA,NA,2,3b,2022-12-05T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3b.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,5.6,2.77,129,24,22.03,936,keine,2014-07-15T00:00:00Z,C000062,Landkreis Altenburger Land
w,130,25,nein,ja,Leichtathletik,NA,NA,2,3b,2022-12-05T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3b.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,5.1,2.37,150,16,31.9,927,keine,2014-04-29T00:00:00Z,C000063,Landkreis Altenburger Land
w,144,34,nein,ja,Schwimmen,NA,NA,2,3b,2022-12-05T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3b.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,5.2,2.7,128,49,35.8,729,keine,2013-12-02T00:00:00Z,C000064,Landkreis Altenburger Land
w,NA,NA,nein,nein,NA,NA,NA,--wählen--,3b,2022-12-05T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3b.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,6.5,2.3,68,31,39.9,657,keine,NA,C000065,Landkreis Altenburger Land
w,140,35,nein,ja,Leichtathletik,NA,NA,2,3b,2022-12-05T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3b.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.9,3,128,26,36.8,702,keine,2014-01-14T00:00:00Z,C000066,Landkreis Altenburger Land
w,130,NA,nein,ja,Leichtathletik,NA,NA,2,3b,2022-12-05T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3b.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,4.6,2.5,127,15,23.5,1044,keine,2013-11-29T00:00:00Z,C000067,Landkreis Altenburger Land
w,NA,NA,nein,ja,NA,NA,NA,1,3b,2022-12-05T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3b.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,5.5,2.2,98,23,27.6,594,keine,NA,C000068,Landkreis Altenburger Land
w,122,NA,nein,nein,NA,NA,NA,--wählen--,3b,2022-12-05T00:00:00Z,10091,Martin-Luther-Schule Staatliche Grundschule Altenburg,Altenburg,./22raw/10091_Martin_Luther_Schule_Altenburg_3b.xlsx,Landkreis Altenburger Land,Ostthüringen,2022,nein,5.6,3.5,153,14,29.1,945,keine,2014-04-08T00:00:00Z,C000069,Landkreis Altenburger Land
